id,constant,position,translate
1. Главная страница,,,
1.1. Посадочная страница.,,,
1,indexHeaderText.slide1.title,Заголовок №1,Plus de 250 instruments financiers avec exécution éclair rapide
2,indexHeaderText.slide1.text|dot,Подзаголовок к заголовку №1,"Au total, vous pouvez choisir parmi les actifs les plus liquides et les plus populaires à partir de six catégories: monnaie, stocks, cryptocurrence, indices, métaux et matières premières"
3,indexHeaderText.slide2.title,Заголовок №2,Trading mobile de partout dans le monde
4,indexHeaderText.slide2.text|dot,Подзаголовок к заголовку №2,Faire des transactions est plus facile que jamais! Vous pouvez utiliser à la fois la version Web de votre propre terminal et une plate-forme mobile multifonction.
5,indexHeaderText.slide3.title,Заголовок №3,Termes de négociation uniques pour les commerçants du monde entier
6,indexHeaderText.slide3.text|dot,Подзаголовок к заголовку №3,"La clé d'exécution réussie des transactions est faible, ainsi que l'absence de requotes et de glissières. Tout cela est disponible avec Company Name!"
7,indexHeaderText.slide4.title,Заголовок №4,Contrôle fiable du régulateur
8,indexHeaderText.slide4.text|dot,Подзаголовок к заголовку №4,Faites confiance à une société fiable qui détient des licences de régulateurs réputés et indépendants du monde
1.2. Почему мы? (Преимущества),,,
9,indexAdvantagesText.h2,Главный заголовок раздела,Six raisons d'ouvrir le compte d'un commerçant avec Company Name
10,indexAdvantagesText.advantage1.title,Преимущество №1,Conditions de marge minimale
11,indexAdvantagesText.advantage1.text|dot,Описание преимущества №1,"Il est très facile de démarrer votre carrière de trading, car elle ne nécessite pas un important dépôt initial."
12,indexAdvantagesText.advantage2.title,Преимущество №2,La popularité de la marque dans le monde entier
13,indexAdvantagesText.advantage2.text|dot,Описание преимущества №2,Company Name a parcouru un long chemin à devenir célèbre dans différentes parties du monde
14,indexAdvantagesText.advantage3.title,Преимущество №3,Propres développements informatiques
15,indexAdvantagesText.advantage3.text|dot,Описание преимущества №3,Évaluez le terminal de trading et d'autres solutions logicielles Company Name
16,indexAdvantagesText.advantage4.title,Преимущество №4,Contrôle de la qualité strict de l'exécution
17,indexAdvantagesText.advantage4.text|dot,Описание преимущества №4,"Toutes les commandes sont exécutées à la vitesse de la foudre, sans délai, pauses et échecs"
18,indexAdvantagesText.advantage5.title,Преимущество №5,Équipe de soutien professionnelle
19,indexAdvantagesText.advantage5.text|dot,Описание преимущества №5,L'équipe de soutien est représentée par une équipe expérimentée qui est prête à conseiller sur tous les problèmes qui se posent
20,indexAdvantagesText.advantage6.title,Преимущество №6,Présence globale
21,indexAdvantagesText.advantage6.text|dot,Описание преимущества №6,"La société fournit des services dans différentes parties du monde, ce qui le rend reconnaissable et réussi"
1.3. Дополнительные преимущества.,,,
22,indexBenefitsText.h2,Главный заголовок раздела,Avantages supplémentaires pour les clients de la société
23,indexBenefitsText.benefit1.title,Преимущество №1,Sécurité des fonds des clients
24,indexBenefitsText.benefit1.text|dot,Описание преимущества №1,Tous les dépôts des clients sont stockés dans des comptes fermés et protégés des plus grandes banques du monde.
25,indexBenefitsText.benefit2.title,Преимущество №2,Soutien dans toutes les langues du monde
26,indexBenefitsText.benefit2.text|dot,Описание преимущества №2,Vous pouvez obtenir une assistance consultante qualifiée dans différentes langues du monde
27,indexBenefitsText.benefit3.title,Преимущество №3,Ajout constamment de nouveaux instruments
28,indexBenefitsText.benefit3.text|dot,Описание преимущества №3,"Restez à l'écoute, car le nombre d'instruments commerciaux augmente constamment"
29,indexBenefitsText.benefit4.title,Преимущество №4,Toute stratégie de négociation et tactique
30,indexBenefitsText.benefit4.text|dot,Описание преимущества №4,"Il est permis d'utiliser toutes les stratégies et tactiques de négociation, quelle que soit la situation"
1.4. Как начать.,,,
31,indexStepsText.h2,Главный заголовок раздела,Vous êtes à seulement quelques pas du statut d'un commerçant
32,indexStepsText.step1.title,Шаг №1,Créer un nouveau compte
