id,constant,position,translate
1. Главная страница,,,
1.1. Посадочная страница.,,,
1,indexHeaderText.slide1.title,Заголовок №1,Más de 250 instrumentos financieros con ejecución rápida de rayos.
2,indexHeaderText.slide1.text|dot,Подзаголовок к заголовку №1,"En total, puede elegir entre los activos más líquidos y populares de seis categorías: moneda, acciones, criptomonecura, índices, metales y materias primas."
3,indexHeaderText.slide2.title,Заголовок №2,Comercio móvil desde cualquier parte del mundo.
4,indexHeaderText.slide2.text|dot,Подзаголовок к заголовку №2,¡Hacer transacciones es más fácil que nunca! Puede usar la versión web de su propia terminal y una plataforma móvil multifuncional para este
5,indexHeaderText.slide3.title,Заголовок №3,Términos de comercio únicos para los comerciantes de todo el mundo.
6,indexHeaderText.slide3.text|dot,Подзаголовок к заголовку №3,"La clave para la ejecución exitosa de transacciones es de baja diferencia, así como la ausencia de recubrimientos y deslizamientos. ¡Todo esto está disponible junto con Company Name!"
7,indexHeaderText.slide4.title,Заголовок №4,Control confiable del regulador.
8,indexHeaderText.slide4.text|dot,Подзаголовок к заголовку №4,Confíe en una empresa confiable que posee licencias de reguladores de renombre e independiente del mundo.
1.2. Почему мы? (Преимущества),,,
9,indexAdvantagesText.h2,Главный заголовок раздела,Seis razones para abrir la cuenta de un comerciante con Company Name
10,indexAdvantagesText.advantage1.title,Преимущество №1,Requisitos mínimos de margen
11,indexAdvantagesText.advantage1.text|dot,Описание преимущества №1,"Es muy fácil comenzar su carrera comercial, ya que no requiere un gran depósito inicial"
12,indexAdvantagesText.advantage2.title,Преимущество №2,La popularidad de la marca en todo el mundo.
13,indexAdvantagesText.advantage2.text|dot,Описание преимущества №2,Company Name ha pasado un largo camino para ser famoso en diferentes partes del mundo
14,indexAdvantagesText.advantage3.title,Преимущество №3,Propietarios de it-it-desarrollos
15,indexAdvantagesText.advantage3.text|dot,Описание преимущества №3,Evalúe el terminal de negociación y otras soluciones de software Company Name
16,indexAdvantagesText.advantage4.title,Преимущество №4,Estricto control de calidad de la ejecución
17,indexAdvantagesText.advantage4.text|dot,Описание преимущества №4,"Todos los pedidos se ejecutan en la velocidad del rayo, sin retrasos, pausas y fallas."
18,indexAdvantagesText.advantage5.title,Преимущество №5,Equipo de apoyo profesional
19,indexAdvantagesText.advantage5.text|dot,Описание преимущества №5,El equipo de soporte está representado por un equipo experimentado que está listo para asesorar sobre todos los problemas que surgen
20,indexAdvantagesText.advantage6.title,Преимущество №6,Presencia global
21,indexAdvantagesText.advantage6.text|dot,Описание преимущества №6,"La compañía proporciona servicios en diferentes partes del mundo, lo que lo hace reconocible y exitoso."
1.3. Дополнительные преимущества.,,,
22,indexBenefitsText.h2,Главный заголовок раздела,Beneficios adicionales para los clientes de la compañía.
23,indexBenefitsText.benefit1.title,Преимущество №1,Seguridad de los fondos del cliente
24,indexBenefitsText.benefit1.text|dot,Описание преимущества №1,Todos los depósitos de los clientes se almacenan en cuentas cerradas y protegidas de los bancos más grandes del mundo.
25,indexBenefitsText.benefit2.title,Преимущество №2,Apoyo en todos los idiomas del mundo.
26,indexBenefitsText.benefit2.text|dot,Описание преимущества №2,Puede obtener asistencia de consultoría calificada en diferentes idiomas del mundo.
27,indexBenefitsText.benefit3.title,Преимущество №3,Constantemente agregando nuevos instrumentos
28,indexBenefitsText.benefit3.text|dot,Описание преимущества №3,"Manténgase sintonizado, ya que el número de instrumentos comerciales está creciendo constantemente"
29,indexBenefitsText.benefit4.title,Преимущество №4,Cualquier estrategia comercial y táctica.
30,indexBenefitsText.benefit4.text|dot,Описание преимущества №4,"Se permite utilizar cualquier estrategia comercial y táctica, independientemente de la situación."
1.4. Как начать.,,,
31,indexStepsText.h2,Главный заголовок раздела,Estás a solo unos pasos del estado de un comerciante.
