id,constant,position,translate
1. Главная страница,,,
1.1. Посадочная страница.,,,
1,indexHeaderText.slide1.title,Заголовок №1,Более 250 финансовых инструментов с молниеносным исполнением
2,indexHeaderText.slide1.text|dot,Подзаголовок к заголовку №1,"Всего на выбор представлены самые ликвидные и востребованные активы из шести категорий: валютные пары, акции, криптовалюта, индексы, металлы и сырье."
3,indexHeaderText.slide2.title,Заголовок №2,Мобильный трейдинг из любой точки планеты
4,indexHeaderText.slide2.text|dot,Подзаголовок к заголовку №2,"Осуществлять сделки проще простого! Вы можете использовать для этого и веб-версию собственного терминала, и многофункциональную мобильную платформу."
5,indexHeaderText.slide3.title,Заголовок №3,Уникальные торговые условия для трейдеров со всего мира
6,indexHeaderText.slide3.text|dot,Подзаголовок к заголовку №3,"Залогом успешного исполнения сделок являются низкие спреды, а также отсутствие реквот и проскальзываний. Все это доступно вместе с Company Name!"
7,indexHeaderText.slide4.title,Заголовок №4,Надежный контроль регулятора
8,indexHeaderText.slide4.text|dot,Подзаголовок к заголовку №4,"Доверьтесь надежной компании, которая владеет лицензиями авторитетных и независимых регуляторов мира. "
1.2. Почему мы? (Преимущества),,,
9,indexAdvantagesText.h2,Главный заголовок раздела,Шесть причин открыть счет трейдера с Company Name
10,indexAdvantagesText.advantage1.title,Преимущество №1,Минимальные маржинальные требования
11,indexAdvantagesText.advantage1.text|dot,Описание преимущества №1,"Начинать свой путь трейдера очень просто, так как для этого не требуется большой стартовый депозит."
12,indexAdvantagesText.advantage2.title,Преимущество №2,Известность бренда во всем мире
13,indexAdvantagesText.advantage2.text|dot,Описание преимущества №2,Company Name прошла долгий путь становления к известности в разных уголках мира.
14,indexAdvantagesText.advantage3.title,Преимущество №3,Собственные IT-разработки
15,indexAdvantagesText.advantage3.text|dot,Описание преимущества №3,Оцените торговый терминал и другие программные решения Company Name.
16,indexAdvantagesText.advantage4.title,Преимущество №4,Строгий контроль качества исполнения
17,indexAdvantagesText.advantage4.text|dot,Описание преимущества №4,"Все ордера исполняются молниеносно, без задержек, пауз и сбоев. "
18,indexAdvantagesText.advantage5.title,Преимущество №5,Профессиональная команда поддержки
19,indexAdvantagesText.advantage5.text|dot,Описание преимущества №5,"Команда поддержки представлена опытной командой, которая готова консультировать по всем возникшим вопросам."
20,indexAdvantagesText.advantage6.title,Преимущество №6,Глобальное присутствие
21,indexAdvantagesText.advantage6.text|dot,Описание преимущества №6,"Компания предоставляет услуги в разных уголках мира, что делает ее узнаваемой и успешной."
1.3. Дополнительные преимущества.,,,
22,indexBenefitsText.h2,Главный заголовок раздела,Дополнительные преимущества для клиентов компании
23,indexBenefitsText.benefit1.title,Преимущество №1,Защищенность средств клиентов
24,indexBenefitsText.benefit1.text|dot,Описание преимущества №1,"Все депозиты клиентов хранятся на закрытых, защищенных счетах крупнейших банков мира. "
25,indexBenefitsText.benefit2.title,Преимущество №2,Поддержка на всех языках мира
26,indexBenefitsText.benefit2.text|dot,Описание преимущества №2,Получить квалифицированную консультационную помощь можно на разных языках мира.
27,indexBenefitsText.benefit3.title,Преимущество №3,Постоянное добавление новых инструментов
28,indexBenefitsText.benefit3.text|dot,Описание преимущества №3,"Следите за обновлениями, так как количество инструментов для трейдинга постоянно растет."
29,indexBenefitsText.benefit4.title,Преимущество №4,Любые торговые стратегии и тактики
30,indexBenefitsText.benefit4.text|dot,Описание преимущества №4,"Допускается использование любых торговых стратегий и тактик, вне зависимости от ситуации."
1.4. Как начать.,,,
31,indexStepsText.h2,Главный заголовок раздела,Вас отделяет всего несколько шагов от статуса трейдера
32,indexStepsText.step1.title,Шаг №1,Создание нового счета
33,indexStepsText.step1.text|dot,Описание Шага №1,"Для начала необходимо перейти в раздел регистрации и заполнить простую форму, с контактными данными пользователя."
