id,constant,position,translate
1. Главная страница,,,
1.1. Посадочная страница.,,,
1,indexHeaderText.slide1.title,Заголовок №1,More than 250 financial instruments with lightning-fast execution
2,indexHeaderText.slide1.text|dot,Подзаголовок к заголовку №1,"In total, you can choose from the most liquid and popular assets from six categories: currency, stocks, cryptocurrency, indices, metals and commodities"
3,indexHeaderText.slide2.title,Заголовок №2,Mobile trading from anywhere in the world
4,indexHeaderText.slide2.text|dot,Подзаголовок к заголовку №2,Making transactions is easier than ever! You can use both the web version of your own terminal and a multifunctional mobile platform for this
5,indexHeaderText.slide3.title,Заголовок №3,Unique trading terms for traders from all over the world
6,indexHeaderText.slide3.text|dot,Подзаголовок к заголовку №3,"The key to successful execution of transactions is low spreads, as well as the absence of requotes and slippages. All this is available together with Company Name!"
7,indexHeaderText.slide4.title,Заголовок №4,Reliable control of the regulator
8,indexHeaderText.slide4.text|dot,Подзаголовок к заголовку №4,Trust a reliable company that holds licenses from reputable and independent regulators of the world
1.2. Почему мы? (Преимущества),,,
9,indexAdvantagesText.h2,Главный заголовок раздела,Six reasons to open a trader's account with Company Name
10,indexAdvantagesText.advantage1.title,Преимущество №1,Minimum margin requirements
11,indexAdvantagesText.advantage1.text|dot,Описание преимущества №1,"It is very easy to start your trading career, since it does not require a large initial deposit"
12,indexAdvantagesText.advantage2.title,Преимущество №2,The brand's popularity all over the world
13,indexAdvantagesText.advantage2.text|dot,Описание преимущества №2,Company Name has gone a long way to becoming famous in different parts of the world
14,indexAdvantagesText.advantage3.title,Преимущество №3,Own IT-developments
15,indexAdvantagesText.advantage3.text|dot,Описание преимущества №3,Evaluate the trading terminal and other software solutions Company Name
16,indexAdvantagesText.advantage4.title,Преимущество №4,Strict quality control of execution
17,indexAdvantagesText.advantage4.text|dot,Описание преимущества №4,"All orders are executed at lightning speed, without delays, pauses and failures"
18,indexAdvantagesText.advantage5.title,Преимущество №5,Professional support team
19,indexAdvantagesText.advantage5.text|dot,Описание преимущества №5,The support team is represented by an experienced team that is ready to advise on all issues that arise
20,indexAdvantagesText.advantage6.title,Преимущество №6,Global presence
21,indexAdvantagesText.advantage6.text|dot,Описание преимущества №6,"The company provides services in different parts of the world, which makes it recognizable and successful"
1.3. Дополнительные преимущества.,,,
22,indexBenefitsText.h2,Главный заголовок раздела,Additional benefits for the company's customers
23,indexBenefitsText.benefit1.title,Преимущество №1,Security of customer funds
24,indexBenefitsText.benefit1.text|dot,Описание преимущества №1,"All customer deposits are stored in closed, protected accounts of the largest banks in the world"
25,indexBenefitsText.benefit2.title,Преимущество №2,Support in all languages of the world
26,indexBenefitsText.benefit2.text|dot,Описание преимущества №2,You can get qualified consulting assistance in different languages of the world
27,indexBenefitsText.benefit3.title,Преимущество №3,Constantly adding new instruments
28,indexBenefitsText.benefit3.text|dot,Описание преимущества №3,"Stay tuned, as the number of trading instruments is constantly growing"
29,indexBenefitsText.benefit4.title,Преимущество №4,Any trading strategies and tactics
30,indexBenefitsText.benefit4.text|dot,Описание преимущества №4,"It is allowed to use any trading strategies and tactics, regardless of the situation"
1.4. Как начать.,,,
31,indexStepsText.h2,Главный заголовок раздела,You are only a few steps away from the status of a trader
32,indexStepsText.step1.title,Шаг №1,Creating a new account
33,indexStepsText.step1.text|dot,Описание Шага №1,"First, you need to go to the registration section and fill out a simple form with the user's contact details"
34,indexStepsText.step2.title,Шаг №2,Authorization in the personal account
35,indexStepsText.step2.text|dot,Описание Шага №2,"Immediately after registration, you can log in to your personal account using the received username and password"
36,indexStepsText.step3.title,Шаг №3,Deposit replenishment
37,indexStepsText.step3.text|dot,Описание Шага №3,You can replenish your deposit in various convenient ways. It takes quite a bit of time
1.5. Информация об аккаунтах.,,,
38,indexAccountsText.h2,Главный заголовок раздела,Types of trading accounts
