id,constant,position,translate
1. Главная страница,,,
1.1. Посадочная страница.,,,
1,indexHeaderText.slide1.title,Заголовок №1,Mehr als 250 Finanzinstrumente mit blitzschneller Ausführung
2,indexHeaderText.slide1.text|dot,Подзаголовок к заголовку №1,"Insgesamt können Sie aus den meisten liquigsten und beliebten Vermögenswerten aus sechs Kategorien wählen: Währung, Bestände, Kryptokurfik, Indizes, Metalle und Rohstoffe"
3,indexHeaderText.slide2.title,Заголовок №2,Mobiler Handel von überall in der Welt
4,indexHeaderText.slide2.text|dot,Подзаголовок к заголовку №2,Die Herstellung von Transaktionen ist einfacher als je zuvor! Sie können sowohl die Webversion Ihres eigenen Terminals als auch für eine multifunktionale mobile Plattform verwenden
5,indexHeaderText.slide3.title,Заголовок №3,Einzigartige Handelsbegriffe für Händler aus der ganzen Welt
6,indexHeaderText.slide3.text|dot,Подзаголовок к заголовку №3,Der Schlüssel zur erfolgreichen Ausführung von Transaktionen ist niedrige Spreads sowie das Fehlen von Gewohnheiten und Rutschen. All dies ist zusammen mit Company Name verfügbar!
7,indexHeaderText.slide4.title,Заголовок №4,Zuverlässige Steuerung des Reglers
8,indexHeaderText.slide4.text|dot,Подзаголовок к заголовку №4,"Vertrauen Sie einem zuverlässigen Unternehmen, das Lizenzen von seriösen und unabhängigen Regulierungsbehörden der Welt enthält"
1.2. Почему мы? (Преимущества),,,
9,indexAdvantagesText.h2,Главный заголовок раздела,"Sechs Gründe, um ein Trader-Konto mit Company Name zu eröffnen"
10,indexAdvantagesText.advantage1.title,Преимущество №1,Mindestmargenanforderungen.
11,indexAdvantagesText.advantage1.text|dot,Описание преимущества №1,"Es ist sehr einfach, Ihre Handelskarriere zu starten, da dies keine große Erstklasse erfordert"
12,indexAdvantagesText.advantage2.title,Преимущество №2,Die Popularität der Marke auf der ganzen Welt
13,indexAdvantagesText.advantage2.text|dot,Описание преимущества №2,"Company Name ist ein langer Weg, um in verschiedenen Teilen der Welt berühmt zu werden"
14,indexAdvantagesText.advantage3.title,Преимущество №3,Eigene IT-Entwicklungen
15,indexAdvantagesText.advantage3.text|dot,Описание преимущества №3,Bewerten Sie das Handelsterminal und andere Softwarelösungen Company Name
16,indexAdvantagesText.advantage4.title,Преимущество №4,Strikte Qualitätskontrolle der Ausführung
17,indexAdvantagesText.advantage4.text|dot,Описание преимущества №4,"Alle Bestellungen werden mit Blitzgeschwindigkeit, ohne Verzögerungen, Pausen und Ausfälle ausgeführt"
18,indexAdvantagesText.advantage5.title,Преимущество №5,Professionelles Support-Team.
19,indexAdvantagesText.advantage5.text|dot,Описание преимущества №5,"Das Support-Team ist von einem erfahrenen Team vertreten, das auf alle auftretenden Probleme bereit ist"
20,indexAdvantagesText.advantage6.title,Преимущество №6,Globale Präsenz
21,indexAdvantagesText.advantage6.text|dot,Описание преимущества №6,"Das Unternehmen bietet Dienstleistungen in verschiedenen Teilen der Welt, was es erkennbar und erfolgreich macht"
1.3. Дополнительные преимущества.,,,
22,indexBenefitsText.h2,Главный заголовок раздела,Zusätzliche Vorteile für die Kunden des Unternehmens
23,indexBenefitsText.benefit1.title,Преимущество №1,Sicherheit von Kundenfonds
24,indexBenefitsText.benefit1.text|dot,Описание преимущества №1,"Alle Kundeneinlagen werden in geschlossenen, geschützten Berichten der größten Banken der Welt gespeichert"
25,indexBenefitsText.benefit2.title,Преимущество №2,Unterstützung in allen Sprachen der Welt
26,indexBenefitsText.benefit2.text|dot,Описание преимущества №2,Sie können qualifizierte Beratungshilfe in verschiedenen Sprachen der Welt erhalten
27,indexBenefitsText.benefit3.title,Преимущество №3,Ständig neue Instrumente hinzufügen
28,indexBenefitsText.benefit3.text|dot,Описание преимущества №3,"Bleiben Sie abgestimmt, da die Anzahl der Handelsinstrumente ständig wächst"
