id,constant,position,translate
1. Главная страница,,,
1.1. Посадочная страница.,,,
1,indexHeaderText.slide1.title,Заголовок №1,超过250个金融工具，具有闪电快速执行
2,indexHeaderText.slide1.text|dot,Подзаголовок к заголовку №1,总共可以从六个类别中选择最多的流动资产：货币，股票，加密货币，指数，金属和原料
3,indexHeaderText.slide2.title,Заголовок №2,来自世界任何地方的移动交易
4,indexHeaderText.slide2.text|dot,Подзаголовок к заголовку №2,交易比以往任何时候都更容易！您可以使用自己的终端的Web版本和多功能移动平台
5,indexHeaderText.slide3.title,Заголовок №3,来自世界各地的交易者的独特交易条款
6,indexHeaderText.slide3.text|dot,Подзаголовок к заголовку №3,成功执行交易的关键是低点，以及没有再现和滑点的情况。所有这些都可以与Company Name一起使用！
7,indexHeaderText.slide4.title,Заголовок №4,可靠控制调节器
8,indexHeaderText.slide4.text|dot,Подзаголовок к заголовку №4,相信一个可靠的公司，持有世界上具有信誉和独立监管机构的许可证
1.2. Почему мы? (Преимущества),,,
9,indexAdvantagesText.h2,Главный заголовок раздела,打开交易者帐户的六个理由Company Name
10,indexAdvantagesText.advantage1.title,Преимущество №1,最低保证金要求
11,indexAdvantagesText.advantage1.text|dot,Описание преимущества №1,开始您的交易职业非常容易，因为它不需要大型初始存款
12,indexAdvantagesText.advantage2.title,Преимущество №2,品牌在世界各地的受欢迎程度
13,indexAdvantagesText.advantage2.text|dot,Описание преимущества №2,Company Name在世界不同地区成名，已经走了很长的路
14,indexAdvantagesText.advantage3.title,Преимущество №3,自己的IT-发展
15,indexAdvantagesText.advantage3.text|dot,Описание преимущества №3,评估交易终端和其他软件解决方案Company Name
16,indexAdvantagesText.advantage4.title,Преимущество №4,严格的执行质量控制
17,indexAdvantagesText.advantage4.text|dot,Описание преимущества №4,所有订单都以闪电速度执行，无延迟，暂停和故障
18,indexAdvantagesText.advantage5.title,Преимущество №5,专业支持团队
19,indexAdvantagesText.advantage5.text|dot,Описание преимущества №5,支持团队由经验丰富的团队代表，准备就出现的所有问题提供建议
20,indexAdvantagesText.advantage6.title,Преимущество №6,全球存在
21,indexAdvantagesText.advantage6.text|dot,Описание преимущества №6,该公司提供世界各地的服务，使其可识别和成功
1.3. Дополнительные преимущества.,,,
22,indexBenefitsText.h2,Главный заголовок раздела,公司客户的额外福利
23,indexBenefitsText.benefit1.title,Преимущество №1,客户资金安全
24,indexBenefitsText.benefit1.text|dot,Описание преимущества №1,所有客户存款均存放在世界上最大银行的已封闭式账户中
25,indexBenefitsText.benefit2.title,Преимущество №2,支持世界各种语言
26,indexBenefitsText.benefit2.text|dot,Описание преимущества №2,您可以用世界不同语言获得合格的咨询援助
27,indexBenefitsText.benefit3.title,Преимущество №3,不断添加新仪器
28,indexBenefitsText.benefit3.text|dot,Описание преимущества №3,保持调整，随着贸易仪器的数量不断增长
29,indexBenefitsText.benefit4.title,Преимущество №4,任何交易策略和策略
30,indexBenefitsText.benefit4.text|dot,Описание преимущества №4,无论情况如何，都允许使用任何交易策略和战术
1.4. Как начать.,,,
31,indexStepsText.h2,Главный заголовок раздела,您距离交易者的地位只有几步之遥
32,indexStepsText.step1.title,Шаг №1,创建一个新帐户
33,indexStepsText.step1.text|dot,Описание Шага №1,首先，您需要转到注册部分，并使用用户的联系方式填写简单表单
34,indexStepsText.step2.title,Шаг №2,个人帐户授权
35,indexStepsText.step2.text|dot,Описание Шага №2,注册后，您可以使用收到的用户名和密码登录您的个人帐户
36,indexStepsText.step3.title,Шаг №3,存款补货
37,indexStepsText.step3.text|dot,Описание Шага №3,您可以以各种方便的方式补充您的存款。需要很多时间
1.5. Информация об аккаунтах.,,,
38,indexAccountsText.h2,Главный заголовок раздела,交易账户类型
39,indexAccountsText.account1.title,Аккаунт №1,Start Trade
